grossprofit_margin,roe,roa,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,turnover_rate,bp,ep,sp,code
55.7196,3.5867,2.6673,0.2482,-2.2893,-84.1589,3.6522,0.601201724137931,0.3440002383548216,0.02239555959224036,0.16817886648396088,000590.csv
39.1596,0.3146,1.2489,102.695,-12.6279,751.8303,4.4558,0.26550689655172416,0.6128513975380847,0.02202469304075346,1.244574379216572,000597.csv
72.6751,3.5603,4.1589,44.2527,464.5802,610.5961,8.6685,0.8734224137931035,1.2208992971399188,0.04272646092451517,0.10753070962690496,000608.csv
5.1960000000000015,4.3057,3.39945,0.0495,-44.2722,-123.9245,4.4004,5.016046551724138,0.4567603397527267,0.015765264419578897,0.3888761444142627,000610.csv
29.6501,6.2062,5.3592,0.2877,55.9043,361.99300000000005,7.3834,2.757312068965516,0.2148107559283486,0.012145245735787971,0.12179568115425267,000636.csv
28.3076,8.5567,8.9396,0.0224,31.9541,591.6363,8.957,3.2887689655172414,0.6515737321067592,0.04356065850968944,0.31523381730942995,000655.csv
86.6899,32.0434,26.0214,0.1384,12.8384,39.3551,35.2121,1.3713568965517244,0.056979512903374586,0.011599017563091651,0.0423317429614619,000661.csv
24.3053,4.1358,5.7602,5.6376,-69.2562,97.2423,4.2231,0.44943620689655184,0.584989062582611,0.017982183252833094,0.6848150597995761,000679.csv
41.9882,17.8234,13.5633,1.8532,-15.7161,-42.6863,14.7174,2.0813844827586205,0.7231124471218092,0.10253387555312836,0.4550312485534662,000690.csv
21.3986,5.2103,3.8504,0.1159,11.5836,-86.4386,3.0469,0.6679224137931032,0.7614414432342007,0.0899029826433341,1.4231370224192128,000705.csv
17.9698,22.4814,10.4361,0.0792,10.621,50.7156,12.2994,0.6224,0.19633093580032915,0.04002962266164898,0.5217244541210798,000708.csv
67.8711,1.9603,4.2883,1.30095,-79.5452,-197.4438,1.6991,3.2417793103448287,0.2415039846335733,0.004800976040433514,0.10704952838248984,000712.csv
36.1213,3.2574,3.3092,0.0707,435.769,602.9512,2.5163,1.485248275862069,1.04541705698686,0.047437316699412736,0.08433335710806572,000722.csv
21.3258,1.265,1.0623,0.6876,-30.5967,-108.7447,-0.1242,0.8088775862068968,1.3778784379487352,0.16847570098427947,1.2154872461549564,000726.csv
29.0358,6.3187,5.2342,0.2075,5.1768,117.6769,6.5805,2.608443103448276,0.2491164953525345,0.011876347362511187,0.12966348879622985,000738.csv
30.2151,10.4915,6.8805,4.3181,16.3147,29.1883,8.5808,0.3822362068965518,0.5908622351689674,0.05658246280600882,1.0572516734162176,000756.csv
9.9927,3.1512,3.2009,0.1033,-0.9376,-25.0995,3.2543,0.9955431034482759,0.6593491748223399,0.05469079032494492,1.7592361575187172,000757.csv
7.8229,4.8807,1.6785,1.0212,-18.2953,-47.813,-12.1697,1.4346534482758622,0.1946981117600328,0.006753498799659332,0.4005028545621448,000768.csv
33.6844,18.6805,15.4195,0.2919,34.7961,56.0899,19.4639,0.8823982758620691,0.1981850933111068,0.010094081638917231,0.17220169723689746,000786.csv
9.2018,16.3868,6.4579,0.4168,-35.6309,-2592.4381,-13.6401,2.3503258620689658,0.473688658736656,0.0019070398894374628,0.5628401086775451,000800.csv
39.7094,18.5102,6.9803,0.3932,3856.7795,126.1967,-751.7297,2.346854385964913,0.2200513767734993,0.018011508998928602,0.08602245598091257,000803.csv
9.8024,3.2739,3.141,0.0172,-11.2799,38.8061,3.9969,0.5373655172413793,0.4450386618782475,0.0319595364478656,0.9373560338607332,000819.csv
5.2565,-7.8774,-7.1436,0.1531,-10.7721,-101.6001,-9.4788,4.021594827586207,0.8459850406384952,0.04378754688838255,1.226143873941579,000822.csv
29.0851,1.3001,3.5731,44.8087,-21.9462,-342.599,1.3365,5.4629534482758615,0.8928730238217701,0.00993104703118822,0.45064742660543,000862.csv
12.5743,20.9077,3.24,1.745,133.6103,-49.1906,23.7704,1.6019379310344826,0.2460565207961292,0.01487740886355426,1.2237314991915698,000868.csv
5.9667,4.5815,4.8591,4.3159,18.8652,-85.9388,-2.0626,2.8116258620689654,0.3666232964445344,0.027046223272474704,2.6336188928801305,000878.csv
17.2599,31.0827,25.2701,0.0477,-1.1191,-7.8145,44.1259,1.3229948275862071,0.14009394470034647,0.033998746985728155,0.37763162986388094,000895.csv
18.9581,15.2147,3.833,0.3214,-42.3263,-86.8511,16.4675,0.609148275862069,0.3820124878262524,0.0474697831636503,0.3513774908488049,000897.csv
17.2316,-15.6868,-9.8368,0.3720000000000001,-10.5437,-533.4811,5.2995,2.0076672413793104,0.6967582771985554,0.02297188947840839,0.8482568591392657,000901.csv
29.4444,11.7165,9.0664,0.0078,19.3918,-19.9862,10.7548,2.075086206896552,0.7129251001601054,0.09366027608962993,0.9575382792128212,000910.csv
60.846,15.786,17.6892,0.0584,-6.3419,37.1992,12.7926,0.9189637931034482,0.37245817220452143,0.03996211006240885,0.34521862257257524,000915.csv
-4.2295,-42.9739,-5.549,3.8933,4.2472,-109.2133,-35.4767,1.4972034482758618,0.26299067235029,0.011797004012877706,0.1687910122233807,000918.csv
22.4223,2.2714,2.6601,0.0408,15.1862,100.8251,-0.7138,1.1420103448275858,0.9106175706201722,0.045220670439323415,0.8040986117941817,000919.csv
10.9972,11.1536,4.2049,0.1286,28.4805,40.0432,9.4695,5.453463793103447,0.8821373271461321,0.08488317767848941,2.1270855616001554,000928.csv
40.6339,6.398,6.3724,0.6345,-0.4286,202.4688,42.9725,0.5697431034482758,0.5486756427088373,0.0348606625508115,0.2957011441796256,000952.csv
59.7733,1.7828,2.5526,0.1352,-89.819,-103.6049,1.3771,0.5954793103448277,1.6856845319777691,0.05577262034783979,0.3654101258320617,000965.csv
18.2217,2.2815,2.2748,0.1,17.9483,188.022,3.0468,1.8016413793103447,0.6520737375472307,0.02307756691382065,0.6890257542648311,000969.csv
14.5985,2.8073,3.002,0.0245,53.6538,23.8129,1.4039,3.618689655172413,0.4332085587427736,0.017998445135634568,0.38885697492044297,000970.csv
24.0551,2.9805,3.8375,0.7752,19.5385,128.6821,1.6342,0.8842913793103446,0.590028712831315,0.01126694072496666,0.6989318132831847,000973.csv
27.3006,13.1214,14.5385,0.2424,14.7639,88.2501,9.3105,1.806729310344828,0.40009567604145657,0.03644197938423649,0.21783564699029007,000975.csv
15.9622,2.9610000000000003,2.2291,3.6681,-32.8584,103.6467,2.5504,0.6640241379310345,0.22144712296427985,0.005827673453012302,0.1347445058778768,000982.csv
