grossprofit_margin,roe,roa,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,turnover_rate,bp,ep,sp,company_code
24.319273,6.737173,4.6142554,1.981881,47.328598,244.06442,19.028011,2.3872094,0.42214498,0.02756928,0.3982439,300385.csv
31.021065,1.1623712,0.8760881,0.025134558,3.2999806,42.848793,2.7645802,1.1261116,0.38514987,0.024089072,0.2572907,600965.csv
47.531395,9.894026,7.1665382,0.7235626,30.548113,153.51607,21.965906,3.9903674,0.27702868,0.012348658,0.15665518,300030.csv
41.398624,5.402163,3.6502125,0.31348178,27.183434,14.163505,29.685371,2.176827,0.70318013,0.09205328,0.5340066,300732.csv
5.89517,-2.9201746,-0.87131363,1.8879372,39.464962,471.1611,2.1374307,2.3283935,0.4774105,0.008058994,0.51291686,600105.csv
11.159633,2.050414,1.256237,0.8176361,3.3120139,-57.085865,9.090647,1.1919582,0.6292941,0.038345322,1.3330361,002135.csv
16.620232,1.2028801,1.2760572,0.087756194,36.720314,39.908302,7.291209,2.0384483,0.36740524,0.02374412,0.2855069,002137.csv
2.937948,7.7845526,3.8411653,5.597153,17.993608,40.93788,14.169003,0.7569,1.0096538,0.12415253,14.873569,600704.csv
32.79065,5.7755995,5.862412,0.010392215,39.52127,59.285225,3.109764,3.1617796,0.4041848,0.029184977,0.25203907,300067.csv
27.980728,5.9875207,4.2377415,0.44146568,43.985252,105.85678,25.601665,3.6716275,0.18589592,0.018643975,0.17372957,300545.csv
29.50954,8.341165,7.2994742,0.109507255,43.68831,36.02118,11.251959,0.8412425,0.3628092,0.035520718,0.16838954,601965.csv
11.613848,-6.9662466,-2.333296,0.6098154,11.5111885,-60.11294,54.55195,5.3303857,0.44676387,0.009243153,0.7533711,603083.csv
14.000549,-19.506779,-0.024934433,0.51807475,21.060743,150.57886,-18.293543,3.9612641,0.2655062,0.010720983,0.3678754,300325.csv
42.15807,5.587835,5.216813,0.026851445,37.93792,69.03686,48.554443,5.5004926,0.33533144,0.04727262,0.16570798,300443.csv
28.503082,2.2699535,1.7612176,0.12382676,1.9308381,28.267065,1.1581584,0.8775727,0.8322544,0.04771952,2.3560157,002187.csv
22.453798,2.3310177,2.6464732,0.9694635,5.9702845,55.633392,2.5418644,2.5882735,0.5391779,0.018904332,0.6688686,000973.csv
-7.9298368,-20.818203,-9.91119,1.9082468,2.3585997,-52.177177,-1.7864377,2.890941,0.5137842,0.01740416,0.19618869,300336.csv
28.43311,-6.5213594,-1.2507763,3.6381621,54.730846,110.18108,-4.532032,1.5052773,0.11861501,0.0100074215,0.08827149,300168.csv
51.920372,1.8076196,1.49191,13.156332,8.130289,-21.044945,34.10085,5.1930366,0.43011063,0.030108823,0.12021256,601016.csv
25.94978,6.193752,5.1281147,0.59191287,27.012476,59.116272,48.452763,1.3514601,0.28220943,0.017589234,0.2542285,603665.csv
25.045113,-171.92476,-1.8337289,0.76901245,-1.2499557,4.2467504,-70.28747,1.7317767,0.16616717,0.014768615,0.25855106,000752.csv
22.229572,5.5804386,3.6283848,0.052244,24.982681,20.954103,4.685427,0.40979168,1.0046282,0.04978632,0.7548303,601801.csv
